order_id,product_id,quantity,unit_price
O00307,P003,3,37.14
O00068,P011,3,35.04
O00068,P021,3,182.88
O00068,P016,3,128.05
O00400,P022,3,90.13
O00411,P014,3,22.6
O00411,P002,2,104.18
O00411,P001,3,123.98
O00411,P010,2,25.41
O00003,P018,3,214.01
O00003,P025,1,170.91
O00003,P012,3,27.3
O00039,P005,3,81.2
O00350,P013,3,19.23
O00350,P007,3,12.04
O00461,P020,2,30.37
O00461,P017,1,23.93
O00015,P011,1,31.57
O00015,P017,2,25.09
O00015,P025,1,164.79
O00015,P010,2,23.06
O00456,P024,3,273.62
O00456,P001,2,118.77
O00365,P005,4,98.03
O00438,P005,2,84.38
O00438,P011,4,32.99
O00445,P012,3,28.19
O00445,P025,3,162.89
O00064,P009,1,63.43
O00064,P012,3,30.69
O00064,P022,1,94.12
O00064,P004,3,80.33
O00082,P018,4,197.69
O00082,P012,4,27.86
O00082,P019,3,17.33
O00230,P019,1,19.93
O00230,P018,3,212.55
O00037,P024,3,318.67
O00037,P002,3,93.87
O00037,P025,2,189.54
O00037,P006,3,48.04
O00069,P018,1,193.8
O00069,P024,2,279.01
O00069,P012,2,32.28
O00172,P005,4,93.63
O00172,P021,1,187.21
O00246,P006,2,45.07
O00246,P004,1,84.41
O00262,P004,1,79.74
O00262,P025,3,163.81
O00374,P003,4,43.97
O00374,P011,3,31.79
O00396,P024,3,309.61
O00396,P005,4,83.52
O00396,P010,1,23.53
O00408,P011,2,37.84
O00408,P019,4,19.92
O00408,P002,4,91.53
O00408,P025,2,165.88
O00119,P009,2,63.43
O00119,P025,2,186.12
O00119,P024,4,278.11
O00273,P004,2,83.3
O00273,P025,2,164.5
O00273,P020,4,34.57
O00273,P017,1,26.24
O00460,P025,4,183.28
O00460,P020,3,34.79
O00460,P009,1,64.36
O00460,P001,2,127.15
O00118,P022,2,90.16
O00118,P009,3,63.98
O00118,P006,3,46.6
O00118,P015,2,46.09
O00012,P025,1,182.93
O00012,P003,3,39.62
O00012,P014,4,24.38
O00220,P007,2,12.9
O00220,P014,3,23.0
O00319,P006,1,41.27
O00319,P020,3,33.84
O00319,P002,3,94.21
O00145,P001,1,126.19
O00145,P022,1,90.34
O00057,P024,4,290.86
O00166,P006,4,44.85
O00166,P025,3,184.66
O00378,P011,3,35.49
O00225,P007,2,12.55
O00225,P015,3,47.62
O00225,P025,1,183.42
O00225,P011,2,37.04
O00054,P006,1,47.45
O00054,P021,1,185.25
O00054,P005,2,94.68
O00054,P016,3,122.32
O00086,P019,1,20.11
O00086,P020,3,31.66
O00086,P002,1,96.71
O00245,P004,2,77.84
O00245,P020,2,28.91
O00245,P015,4,49.3
O00245,P009,4,63.29
O00428,P009,3,58.07
O00428,P001,1,117.26
O00428,P014,4,23.19
O00468,P009,1,59.35
O00468,P011,2,32.82
O00468,P005,4,89.47
O00468,P007,2,13.51
O00004,P001,3,119.77
O00004,P025,2,167.92
O00004,P013,2,21.75
O00004,P023,1,146.91
O00487,P011,4,37.6
O00130,P002,4,105.66
O00130,P009,4,54.38
O00130,P004,2,85.8
O00130,P001,4,119.68
O00209,P016,1,115.87
O00209,P004,2,74.49
O00402,P009,3,60.37
O00402,P012,2,32.61
O00481,P009,4,63.77
O00481,P005,1,88.88
O00110,P009,1,64.03
O00110,P010,3,27.16
O00110,P023,3,145.41
O00287,P009,2,57.0
O00444,P007,2,13.21
O00444,P014,3,22.78
O00467,P006,1,46.71
O00467,P022,2,91.08
O00248,P008,4,253.69
O00251,P001,3,120.42
O00251,P008,3,252.48
O00191,P002,3,97.88
O00191,P003,2,40.41
O00191,P014,1,23.32
O00191,P001,4,124.7
O00377,P012,3,30.88
O00377,P019,4,19.64
O00377,P024,1,277.54
O00042,P008,3,274.25
O00042,P021,4,203.75
O00042,P017,4,24.73
O00042,P019,2,18.35
O00348,P015,3,54.78
O00463,P014,4,21.67
O00463,P007,1,13.37
O00463,P025,3,165.16
O00035,P019,2,17.28
O00035,P005,4,91.65
O00035,P011,4,35.44
O00035,P014,4,22.36
O00171,P015,4,52.55
O00171,P010,4,23.58
O00217,P024,3,312.69
O00217,P010,3,23.98
O00217,P003,3,35.99
O00217,P011,3,33.75
O00026,P012,3,32.85
O00026,P010,3,25.15
O00026,P011,2,31.95
O00026,P025,4,181.96
O00152,P018,3,204.76
O00218,P002,2,90.95
O00312,P009,2,63.23
O00312,P023,4,144.79
O00466,P023,2,158.41
O00283,P024,3,293.91
O00462,P021,2,187.65
O00462,P023,3,151.84
O00462,P003,1,36.78
O00132,P013,2,19.9
O00132,P017,4,27.08
O00132,P009,4,63.39
O00132,P012,1,28.16
O00212,P002,3,92.63
O00358,P008,2,235.9
O00358,P014,3,23.59
O00358,P013,1,19.77
O00255,P004,3,72.81
O00268,P018,1,205.81
O00268,P012,1,28.97
O00268,P010,4,26.7
O00269,P001,3,134.42
O00269,P015,3,48.3
O00269,P008,4,249.47
O00269,P010,4,25.75
O00335,P010,2,24.15
O00335,P025,4,163.7
O00335,P020,2,32.81
O00335,P012,3,31.68
O00338,P020,3,29.23
O00338,P010,2,22.79
O00338,P005,2,97.01
O00002,P004,4,83.68
O00002,P009,3,59.01
O00002,P018,2,217.54
O00347,P011,1,32.42
O00347,P017,1,27.06
O00066,P025,1,165.59
O00066,P021,3,214.78
O00066,P010,4,23.87
O00066,P004,1,85.78
O00121,P015,2,51.14
O00121,P004,4,74.83
O00121,P020,3,29.89
O00360,P006,2,47.84
O00360,P012,4,32.97
O00021,P020,4,32.92
O00021,P006,3,43.97
O00095,P001,4,133.53
O00095,P004,2,78.48
O00123,P011,1,33.61
O00123,P010,1,26.85
O00123,P013,2,21.05
O00125,P016,3,111.15
O00127,P014,1,22.81
O00277,P001,3,124.02
O00337,P010,3,23.74
O00337,P003,1,39.6
O00337,P004,1,81.52
O00146,P008,1,271.02
O00483,P020,1,33.31
O00483,P015,4,50.11
O00483,P025,2,163.71
O00483,P022,3,101.4
O00075,P022,3,102.4
O00075,P017,2,26.39
O00075,P007,2,11.34
O00075,P024,3,298.0
O00187,P015,1,46.36
O00187,P025,4,163.54
O00431,P013,1,18.27
O00431,P008,3,263.03
O00431,P005,1,95.77
O00432,P017,1,24.47
O00313,P024,2,281.65
O00313,P013,3,21.8
O00371,P017,3,22.85
O00371,P023,1,150.84
O00170,P022,4,99.34
O00170,P014,1,22.27
O00170,P020,3,31.43
O00170,P005,4,93.41
O00181,P024,1,303.21
O00294,P025,4,162.88
O00294,P022,3,98.98
O00406,P004,4,84.69
O00406,P025,1,182.63
O00406,P022,2,103.78
O00406,P006,4,40.87
O00104,P013,4,20.12
O00104,P024,2,326.34
O00494,P006,4,47.05
O00494,P003,3,39.93
O00470,P022,1,104.48
O00470,P009,3,62.15
O00470,P001,3,128.18
O00470,P010,2,26.19
O00061,P014,1,21.25
O00038,P008,3,256.16
O00038,P017,3,23.74
O00291,P009,1,57.92
O00291,P001,2,138.74
O00259,P014,4,21.18
O00017,P018,2,204.66
O00017,P013,3,20.3
O00017,P021,2,205.12
O00017,P003,2,38.51
O00111,P024,4,288.12
O00081,P001,4,125.98
O00081,P007,3,12.7
O00081,P017,4,26.51
O00081,P022,3,106.52
O00346,P021,1,218.72
O00383,P021,4,183.91
O00208,P017,2,24.05
O00208,P018,1,195.48
O00311,P015,1,51.07
O00311,P017,1,23.71
O00311,P011,4,33.09
O00440,P023,2,161.93
O00440,P009,4,61.93
O00440,P024,3,299.48
O00440,P008,3,273.94
O00247,P009,4,62.71
O00247,P005,4,84.66
O00247,P018,3,186.33
O00436,P006,1,43.49
O00436,P012,2,31.91
O00436,P001,3,142.68
O00436,P007,2,12.07
O00005,P003,3,38.31
O00005,P011,2,31.56
O00005,P020,2,32.69
O00048,P024,1,318.35
O00048,P019,1,20.88
O00179,P017,3,26.47
O00179,P011,1,37.16
O00179,P014,3,23.82
O00343,P012,2,29.98
O00343,P003,4,36.46
O00169,P006,3,43.54
O00169,P020,4,30.32
O00169,P002,1,105.0
O00169,P013,2,19.03
O00272,P011,3,35.69
O00272,P005,2,85.45
O00272,P010,4,25.94
O00326,P021,2,199.9
O00326,P022,4,108.57
O00326,P025,4,175.6
O00304,P011,4,34.87
O00155,P023,4,155.45
O00224,P007,2,12.36
O00224,P019,3,20.17
O00224,P025,3,190.32
O00368,P004,4,80.74
O00368,P016,4,120.44
O00368,P021,4,180.18
O00368,P014,1,22.95
O00007,P008,4,253.86
O00007,P019,4,18.1
O00204,P009,4,55.27
O00204,P008,3,246.77
O00196,P016,3,108.58
O00196,P017,2,22.87
O00196,P001,1,138.74
O00188,P024,1,296.57
O00188,P010,1,26.78
O00188,P021,2,197.77
O00334,P008,4,226.98
O00415,P004,4,83.52
O00192,P002,1,101.92
O00192,P003,4,43.72
O00192,P020,1,33.49
O00192,P001,3,138.79
O00263,P013,2,21.1
O00263,P015,2,52.02
O00263,P008,3,265.45
O00263,P017,2,26.24
O00424,P010,3,23.65
O00424,P023,4,151.2
O00424,P005,2,91.68
O00114,P015,3,47.05
O00114,P022,3,92.44
O00114,P008,4,252.27
O00265,P015,2,46.24
O00122,P013,3,18.52
O00122,P010,3,26.48
O00482,P017,4,26.88
O00482,P006,2,48.71
O00482,P020,1,29.83
O00320,P001,1,137.93
O00405,P019,1,17.43
O00366,P001,4,121.51
O00366,P017,1,26.26
O00142,P014,2,21.97
O00142,P020,2,30.14
O00397,P006,3,48.4
O00397,P004,1,75.72
O00397,P001,3,126.95
O00023,P004,4,79.76
O00023,P019,2,18.2
O00023,P016,2,127.21
O00023,P003,2,36.0
O00480,P004,3,72.8
O00480,P013,4,19.62
O00153,P008,1,273.63
O00388,P024,2,275.3
O00388,P020,4,30.98
O00388,P022,2,94.42
O00388,P001,2,134.68
O00264,P002,3,91.74
O00264,P020,4,30.17
O00264,P012,3,31.74
O00089,P004,1,77.46
O00089,P010,4,25.2
O00089,P012,1,31.27
O00089,P015,1,45.71
O00372,P004,4,87.65
O00372,P008,3,235.32
O00398,P006,4,41.37
O00398,P024,1,283.19
O00398,P015,1,52.62
O00398,P003,2,37.01
O00034,P010,2,22.77
O00034,P011,4,34.31
O00034,P012,1,32.6
O00399,P015,3,48.76
O00399,P016,1,112.42
O00278,P013,1,18.5
O00278,P014,1,23.08
O00281,P002,3,106.03
O00281,P001,4,132.66
O00281,P007,2,12.0
O00281,P019,4,19.32
O00303,P014,2,23.05
O00303,P017,2,24.52
O00303,P009,1,65.34
O00306,P009,3,60.79
O00306,P020,1,29.7
O00306,P001,1,128.95
O00420,P024,4,281.0
O00296,P021,2,195.11
O00296,P009,4,62.17
O00296,P014,2,21.26
O00296,P024,4,283.66
O00036,P010,2,27.05
O00036,P003,3,40.0
O00036,P024,3,291.75
O00036,P011,4,32.6
O00200,P005,3,97.51
O00200,P001,3,138.73
O00200,P012,1,32.29
O00200,P006,3,48.16
O00393,P007,1,12.8
O00393,P015,1,53.43
O00393,P003,4,40.32
O00479,P006,4,46.55
O00443,P017,4,26.14
O00443,P009,1,57.32
O00242,P022,1,103.3
O00242,P007,2,11.92
O00242,P019,1,18.01
O00242,P012,3,27.74
O00472,P010,1,24.78
O00434,P019,1,20.23
O00207,P021,1,218.53
O00207,P009,4,60.73
O00207,P010,3,24.14
O00207,P014,3,24.92
O00043,P023,2,157.86
O00340,P015,1,48.78
O00340,P024,2,276.64
O00205,P003,2,40.79
O00205,P017,2,25.58
O00205,P004,3,75.68
O00205,P010,4,24.23
O00177,P022,4,99.56
O00177,P008,1,261.37
O00177,P005,3,89.67
O00177,P001,3,127.54
O00310,P002,3,94.43
O00310,P023,1,162.8
O00310,P003,3,36.63
O00429,P006,3,44.75
O00429,P019,1,17.8
O00394,P015,2,51.06
O00404,P021,1,190.37
O00404,P022,2,93.86
O00201,P012,2,32.51
O00201,P003,4,39.0
O00447,P012,3,27.7
O00447,P004,4,84.3
O00447,P006,3,45.73
O00447,P021,1,201.02
O00258,P014,3,23.0
O00258,P003,3,38.44
O00258,P017,2,24.53
O00274,P025,3,182.13
O00274,P008,1,245.34
O00386,P005,4,88.51
O00386,P020,2,29.75
O00078,P016,1,122.57
O00078,P025,1,170.16
O00134,P022,2,94.72
O00134,P008,2,262.03
O00390,P006,4,41.67
O00390,P023,3,146.47
O00390,P021,3,207.17
O00361,P022,1,107.79
O00361,P012,2,32.32
O00361,P017,4,27.19
O00387,P011,3,37.9
O00473,P011,2,35.61
O00024,P020,4,34.94
O00024,P008,4,234.39
O00024,P003,1,40.2
O00008,P019,1,19.36
O00029,P013,1,18.62
O00029,P003,3,36.84
O00301,P008,1,230.35
O00301,P024,1,306.65
O00301,P005,2,98.85
O00091,P023,4,148.57
O00091,P021,2,189.67
O00091,P025,1,161.45
O00486,P022,2,91.38
O00486,P008,2,240.99
O00409,P016,4,110.36
O00409,P002,2,108.68
O00103,P018,1,195.3
O00103,P025,2,172.2
O00103,P002,2,101.85
O00103,P015,2,51.72
O00173,P021,2,217.06
O00173,P010,3,26.84
O00173,P018,4,185.05
O00173,P014,2,24.84
O00430,P021,1,212.63
O00031,P024,1,291.15
O00031,P020,3,31.03
O00031,P025,1,173.49
O00033,P016,3,127.01
O00033,P024,4,293.13
O00033,P015,3,45.39
O00493,P007,2,13.58
O00493,P017,1,25.94
O00286,P004,4,79.19
O00286,P013,3,18.13
O00286,P019,2,18.01
O00286,P016,2,112.38
O00490,P022,1,108.79
O00144,P011,1,34.4
O00271,P021,2,190.17
O00271,P017,2,23.36
O00391,P023,3,156.56
O00391,P012,2,30.02
O00327,P008,1,255.54
O00106,P005,2,91.88
O00369,P024,1,284.22
O00369,P010,3,26.29
O00369,P011,4,37.05
O00175,P021,2,189.26
O00175,P025,1,191.86
O00175,P012,4,30.41
O00175,P015,4,49.22
O00016,P012,1,31.99
O00016,P019,2,20.52
O00016,P023,2,145.87
O00016,P017,1,22.75
O00079,P018,3,181.18
O00079,P003,2,42.99
O00079,P022,2,97.65
O00336,P003,2,43.82
O00380,P024,1,287.24
O00417,P010,2,26.41
O00417,P004,4,76.29
O00417,P021,3,217.33
O00116,P007,1,13.61
O00116,P015,2,52.05
O00116,P008,3,260.21
O00184,P025,1,185.58
O00241,P015,1,51.9
O00241,P013,3,19.87
O00062,P006,4,44.49
O00062,P008,4,244.51
O00083,P014,1,24.65
O00354,P012,1,32.98
O00416,P008,3,268.53
O00416,P002,1,101.64
O00416,P004,1,79.94
O00416,P005,2,83.51
O00087,P004,4,85.77
O00300,P003,4,37.79
O00300,P013,1,18.08
O00300,P020,3,33.72
O00300,P014,2,24.46
O00055,P006,3,48.02
O00055,P007,2,12.5
O00055,P004,4,79.87
O00055,P024,1,316.28
O00333,P012,4,32.12
O00333,P023,1,152.89
O00333,P007,1,12.94
O00333,P020,3,32.04
O00165,P021,3,216.21
O00165,P010,3,27.07
O00433,P024,2,322.14
O00433,P014,2,21.65
O00433,P015,3,47.3
O00433,P004,2,76.49
O00499,P010,4,26.21
O00499,P002,4,109.22
O00499,P022,1,106.15
O00499,P004,1,73.47
O00162,P019,3,17.18
O00162,P017,1,27.37
O00162,P015,1,49.37
O00474,P015,2,47.76
O00474,P014,4,24.03
O00474,P018,2,214.83
O00474,P012,3,31.58
O00414,P024,2,313.78
O00414,P021,1,203.81
O00414,P002,4,106.75
O00414,P023,2,156.1
O00185,P012,2,30.21
O00185,P008,3,229.59
O00185,P002,1,97.33
O00266,P009,4,60.32
O00266,P021,4,217.29
O00266,P004,1,84.95
O00266,P007,4,13.44
O00137,P024,2,283.88
O00500,P017,2,24.85
O00101,P020,1,33.13
O00101,P017,3,25.24
O00124,P017,4,26.77
O00124,P011,4,37.4
O00124,P019,2,17.94
O00124,P014,1,23.52
O00298,P008,4,231.27
O00298,P016,3,112.94
O00140,P018,1,189.99
O00140,P016,4,115.09
O00160,P025,1,172.87
O00160,P014,1,23.15
O00160,P003,2,36.11
O00236,P014,4,24.81
O00236,P010,2,24.94
O00236,P012,3,29.48
O00236,P008,3,253.84
O00459,P004,3,82.29
O00459,P022,2,101.93
O00459,P021,4,217.78
O00109,P009,3,59.69
O00109,P002,3,101.25
O00280,P001,2,139.87
O00280,P011,3,32.54
O00049,P013,3,18.87
O00049,P021,4,198.32
O00120,P023,1,161.59
O00492,P012,2,28.49
O00018,P016,2,120.79
O00018,P004,3,87.66
O00018,P015,4,54.41
O00018,P013,2,20.81
O00129,P014,3,25.0
O00129,P023,4,134.54
O00129,P002,3,94.75
O00129,P010,4,24.74
O00222,P008,3,261.47
O00222,P006,2,42.57
O00249,P024,2,306.57
O00249,P005,2,89.98
O00096,P008,2,231.34
O00096,P024,2,319.27
O00096,P023,4,141.06
O00096,P013,1,20.26
O00063,P007,3,11.88
O00063,P019,3,19.64
O00098,P018,3,204.76
O00098,P007,4,13.26
O00098,P013,4,18.95
O00098,P015,3,51.37
O00458,P004,4,82.83
O00458,P003,1,41.5
O00020,P023,4,137.26
O00020,P025,3,172.32
O00020,P019,4,19.85
O00020,P024,1,321.2
O00157,P023,2,152.85
O00157,P020,2,28.83
O00314,P006,4,47.64
O00314,P016,4,119.93
O00375,P022,2,95.74
O00375,P013,1,18.09
O00375,P008,3,241.46
O00001,P017,1,25.07
O00001,P009,2,56.57
O00156,P004,4,74.09
O00156,P023,2,144.26
O00156,P005,1,88.93
O00156,P020,2,30.14
O00452,P019,3,17.71
O00022,P020,2,32.17
O00059,P008,2,233.53
O00457,P002,4,104.07
O00457,P016,2,116.58
O00457,P022,1,106.1
O00385,P023,3,157.21
O00385,P015,4,46.65
O00385,P020,1,29.75
O00077,P002,4,98.27
O00285,P011,1,32.92
O00285,P004,1,87.38
O00322,P011,4,37.98
O00322,P003,3,38.52
O00322,P010,3,26.32
O00454,P023,3,143.32
O00454,P010,2,27.12
O00454,P003,2,37.22
O00498,P008,1,258.06
O00498,P001,3,130.96
O00498,P016,4,124.73
O00073,P013,4,20.63
O00073,P019,3,18.36
O00073,P022,4,105.0
O00356,P002,3,91.57
O00356,P020,4,34.55
O00413,P024,1,297.23
O00413,P017,3,26.38
O00413,P007,1,12.53
O00427,P018,2,207.49
O00427,P015,1,49.87
O00427,P012,2,32.25
O00199,P016,4,114.22
O00199,P018,4,207.46
O00199,P020,3,30.33
O00203,P024,4,293.48
O00305,P001,2,131.52
O00496,P022,3,106.56
O00496,P012,1,29.01
O00014,P020,4,31.03
O00014,P015,2,48.22
O00014,P009,1,61.77
O00014,P021,4,199.18
O00478,P013,3,20.9
O00478,P018,2,214.62
O00478,P009,4,61.47
O00128,P025,4,183.21
O00437,P022,4,92.35
O00437,P009,2,54.83
O00437,P016,1,111.04
O00437,P020,2,32.23
O00464,P013,1,18.45
O00464,P001,2,140.28
O00464,P020,1,32.05
O00215,P009,4,56.43
O00215,P003,4,36.69
O00442,P022,1,99.68
O00442,P005,4,85.71
O00234,P023,4,135.44
O00234,P001,1,130.66
O00234,P011,1,31.69
O00234,P020,1,34.68
O00355,P015,3,54.24
O00355,P001,3,120.99
O00237,P021,4,190.97
O00237,P005,4,83.51
O00237,P020,1,29.12
O00010,P003,1,40.1
O00108,P003,4,38.92
O00108,P018,4,198.48
O00108,P015,4,46.14
O00108,P022,2,107.5
O00214,P009,1,61.84
O00214,P024,1,302.4
O00214,P008,1,265.17
O00214,P003,1,41.88
O00099,P018,3,217.69
O00099,P014,2,23.05
O00183,P015,1,50.79
O00183,P003,2,43.41
O00183,P014,1,21.08
O00040,P021,3,184.08
O00143,P021,2,194.91
O00143,P003,2,39.45
O00143,P011,2,35.11
O00030,P012,3,29.18
O00030,P022,3,106.65
O00058,P024,2,327.7
O00058,P014,4,20.88
O00058,P004,4,78.92
O00135,P019,1,18.1
O00135,P014,2,23.12
O00316,P024,3,309.72
O00316,P021,2,210.01
O00316,P005,1,95.32
O00318,P024,1,287.66
O00318,P017,1,27.16
O00318,P015,1,48.17
O00006,P021,1,190.0
O00006,P023,3,150.37
O00006,P024,3,316.82
O00006,P022,4,89.27
O00395,P014,1,22.59
O00395,P021,3,196.73
O00395,P007,2,13.44
O00421,P024,3,292.57
O00421,P013,1,19.06
O00485,P002,4,96.69
O00485,P001,1,138.86
O00239,P002,3,103.74
O00239,P020,3,29.93
O00239,P007,1,11.36
O00423,P003,4,42.52
O00423,P012,4,32.07
O00423,P002,4,102.86
O00349,P002,1,106.92
O00349,P019,4,17.33
O00349,P025,2,166.07
O00349,P023,2,148.81
O00257,P024,3,273.55
O00257,P009,4,63.05
O00441,P022,1,98.45
O00441,P010,3,22.78
O00441,P017,3,25.52
O00446,P013,2,20.83
O00446,P007,4,11.96
O00446,P004,3,84.83
O00446,P014,2,24.4
O00469,P014,1,23.52
O00469,P009,3,64.51
O00469,P005,4,95.62
O00469,P024,1,296.74
O00141,P002,2,91.73
O00141,P014,2,23.78
O00141,P024,1,272.65
O00279,P019,3,18.44
O00279,P023,1,142.76
O00279,P011,1,33.33
O00284,P008,4,234.44
O00284,P003,4,36.57
O00240,P011,3,33.7
O00240,P013,3,21.25
O00373,P002,1,93.57
O00373,P011,3,35.49
O00373,P014,1,22.97
O00373,P017,2,22.87
O00465,P019,3,20.21
O00465,P013,1,18.75
O00072,P014,3,22.61
O00072,P003,3,40.82
O00315,P025,1,190.7
O00315,P015,2,47.74
O00195,P025,2,186.8
O00195,P019,1,18.05
O00344,P025,2,163.41
O00344,P017,2,23.71
O00344,P007,1,13.52
O00497,P020,1,33.19
O00497,P013,2,18.65
O00497,P023,4,139.78
O00497,P012,1,28.66
O00100,P015,1,51.02
O00100,P006,4,40.69
O00100,P007,4,11.73
O00295,P009,1,57.05
O00295,P015,3,48.58
O00295,P013,4,19.21
O00295,P022,2,90.21
O00379,P021,2,197.5
O00379,P003,4,38.37
O00379,P016,3,108.23
O00379,P010,4,27.33
O00254,P010,4,22.5
O00254,P009,1,64.37
O00228,P025,2,165.79
O00228,P011,4,32.46
O00228,P001,3,138.88
O00228,P010,4,26.4
O00252,P025,2,188.61
O00252,P001,4,142.61
O00352,P018,1,187.4
O00352,P023,4,157.76
O00352,P025,3,179.52
O00353,P018,2,214.75
O00353,P003,4,41.15
O00317,P012,2,32.26
O00317,P005,3,91.72
O00317,P008,3,250.08
O00112,P014,2,21.24
O00112,P017,4,26.79
O00178,P011,4,38.02
O00178,P003,4,43.82
O00056,P016,1,125.62
O00056,P015,2,49.22
O00056,P017,2,25.31
O00331,P009,1,54.49
O00331,P003,4,39.3
O00357,P007,1,12.79
O00357,P024,2,283.11
O00471,P003,4,42.69
O00471,P024,1,286.4
O00471,P011,3,34.48
O00471,P020,4,30.52
O00080,P016,4,125.69
O00080,P008,2,230.47
O00080,P014,1,22.09
O00080,P012,2,27.39
O00297,P022,3,94.91
O00297,P011,4,33.76
O00297,P016,3,118.8
O00329,P011,2,36.59
O00329,P012,4,29.93
O00489,P015,4,51.15
O00489,P019,4,19.59
O00219,P018,3,216.14
O00219,P002,1,100.23
O00219,P023,4,148.32
O00219,P015,1,46.87
O00422,P001,4,142.55
O00422,P024,3,300.38
O00267,P011,2,38.25
O00267,P009,3,61.06
O00367,P011,1,31.74
O00154,P005,4,83.21
O00154,P003,4,36.11
