order_id,customer_id,order_date,status
O00275,C0075,2025-02-11,Shipped
O00019,C0086,2025-02-12,Processing
O00052,C0092,2025-02-15,Shipped
O00060,C0025,2025-02-16,Completed
O00189,C0002,2025-02-16,Completed
O00307,C0019,2025-02-16,Completed
O00068,C0049,2025-02-17,Completed
O00400,C0082,2025-02-18,Completed
O00411,C0018,2025-02-18,Shipped
O00003,C0063,2025-02-20,Cancelled
O00039,C0060,2025-02-20,Shipped
O00350,C0019,2025-02-20,Completed
O00461,C0026,2025-02-20,Completed
O00015,C0046,2025-02-22,Completed
O00456,C0034,2025-02-23,Completed
O00365,C0075,2025-02-24,Completed
O00438,C0023,2025-02-24,Completed
O00445,C0085,2025-02-24,Completed
O00064,C0022,2025-02-25,Cancelled
O00082,C0096,2025-02-25,Cancelled
O00230,C0030,2025-03-01,Shipped
O00037,C0024,2025-03-02,Completed
O00069,C0052,2025-03-02,Completed
O00172,C0033,2025-03-03,Cancelled
O00246,C0071,2025-03-03,Completed
O00262,C0016,2025-03-04,Completed
O00374,C0008,2025-03-04,Shipped
O00396,C0013,2025-03-04,Completed
O00408,C0005,2025-03-04,Completed
O00119,C0093,2025-03-08,Completed
O00273,C0087,2025-03-08,Cancelled
O00460,C0039,2025-03-08,Completed
O00118,C0022,2025-03-09,Completed
O00012,C0054,2025-03-10,Shipped
O00220,C0023,2025-03-10,Processing
O00319,C0092,2025-03-10,Processing
O00145,C0023,2025-03-11,Completed
O00057,C0063,2025-03-14,Completed
O00166,C0084,2025-03-16,Completed
O00378,C0008,2025-03-16,Completed
O00225,C0055,2025-03-17,Processing
O00054,C0066,2025-03-19,Cancelled
O00086,C0055,2025-03-19,Completed
O00245,C0009,2025-03-19,Processing
O00428,C0021,2025-03-19,Cancelled
O00468,C0054,2025-03-19,Completed
O00004,C0085,2025-03-22,Shipped
O00487,C0098,2025-03-23,Completed
O00130,C0069,2025-03-24,Completed
O00209,C0010,2025-03-25,Completed
O00402,C0047,2025-03-25,Completed
O00481,C0051,2025-03-26,Completed
O00110,C0048,2025-03-27,Shipped
O00287,C0009,2025-03-27,Completed
O00444,C0017,2025-03-28,Cancelled
O00467,C0065,2025-03-29,Completed
O00248,C0078,2025-03-30,Completed
O00251,C0083,2025-03-30,Completed
O00191,C0087,2025-03-31,Completed
O00377,C0090,2025-03-31,Cancelled
O00042,C0036,2025-04-02,Completed
O00348,C0036,2025-04-02,Cancelled
O00463,C0054,2025-04-02,Completed
O00035,C0050,2025-04-03,Completed
O00171,C0033,2025-04-04,Processing
O00217,C0082,2025-04-04,Completed
O00026,C0033,2025-04-05,Completed
O00152,C0010,2025-04-05,Completed
O00218,C0096,2025-04-05,Cancelled
O00312,C0074,2025-04-05,Shipped
O00466,C0012,2025-04-06,Completed
O00283,C0046,2025-04-07,Completed
O00462,C0034,2025-04-07,Completed
O00132,C0094,2025-04-11,Completed
O00212,C0064,2025-04-11,Completed
O00358,C0031,2025-04-11,Processing
O00255,C0012,2025-04-14,Completed
O00268,C0039,2025-04-14,Completed
O00269,C0014,2025-04-14,Shipped
O00335,C0038,2025-04-14,Completed
O00338,C0044,2025-04-14,Completed
O00002,C0097,2025-04-16,Completed
O00347,C0075,2025-04-16,Completed
O00066,C0058,2025-04-17,Completed
O00121,C0076,2025-04-19,Completed
O00360,C0054,2025-04-20,Shipped
O00021,C0066,2025-04-21,Shipped
O00095,C0019,2025-04-21,Completed
O00123,C0016,2025-04-21,Completed
O00125,C0086,2025-04-21,Shipped
O00127,C0029,2025-04-21,Completed
O00277,C0076,2025-04-21,Completed
O00337,C0058,2025-04-21,Completed
O00146,C0010,2025-04-22,Completed
O00483,C0064,2025-04-22,Completed
O00075,C0097,2025-04-23,Completed
O00187,C0095,2025-04-23,Completed
O00431,C0092,2025-04-23,Completed
O00432,C0081,2025-04-24,Shipped
O00313,C0090,2025-04-25,Completed
O00371,C0076,2025-04-27,Completed
O00170,C0035,2025-04-28,Completed
O00181,C0074,2025-04-28,Completed
O00294,C0038,2025-04-28,Completed
O00406,C0056,2025-04-28,Completed
O00104,C0012,2025-04-29,Completed
O00494,C0098,2025-04-29,Processing
O00470,C0094,2025-04-30,Completed
O00061,C0058,2025-05-01,Completed
O00038,C0013,2025-05-02,Completed
O00291,C0005,2025-05-03,Completed
O00259,C0100,2025-05-05,Completed
O00017,C0032,2025-05-06,Completed
O00111,C0089,2025-05-06,Shipped
O00081,C0006,2025-05-07,Shipped
O00346,C0085,2025-05-07,Completed
O00383,C0092,2025-05-08,Cancelled
O00208,C0036,2025-05-10,Completed
O00311,C0091,2025-05-10,Cancelled
O00440,C0037,2025-05-11,Completed
O00247,C0028,2025-05-12,Shipped
O00436,C0003,2025-05-12,Completed
O00005,C0032,2025-05-13,Completed
O00048,C0014,2025-05-13,Completed
O00179,C0033,2025-05-13,Completed
O00343,C0047,2025-05-13,Completed
O00169,C0050,2025-05-14,Processing
O00272,C0035,2025-05-14,Shipped
O00326,C0001,2025-05-14,Completed
O00304,C0036,2025-05-16,Completed
O00155,C0096,2025-05-17,Processing
O00224,C0012,2025-05-17,Completed
O00368,C0096,2025-05-17,Shipped
O00007,C0033,2025-05-18,Cancelled
O00204,C0029,2025-05-18,Completed
O00196,C0026,2025-05-19,Completed
O00188,C0046,2025-05-20,Completed
O00334,C0033,2025-05-21,Cancelled
O00415,C0085,2025-05-21,Completed
O00192,C0081,2025-05-22,Completed
O00263,C0057,2025-05-23,Completed
O00424,C0033,2025-05-24,Completed
O00114,C0061,2025-05-25,Completed
O00265,C0053,2025-05-25,Completed
O00122,C0026,2025-05-26,Completed
O00482,C0038,2025-05-27,Completed
O00320,C0058,2025-05-28,Shipped
O00405,C0010,2025-05-28,Completed
O00366,C0012,2025-05-29,Completed
O00142,C0100,2025-05-30,Completed
O00397,C0046,2025-05-30,Completed
O00023,C0002,2025-05-31,Completed
O00480,C0075,2025-05-31,Completed
O00153,C0019,2025-06-01,Completed
O00388,C0063,2025-06-01,Completed
O00264,C0039,2025-06-02,Completed
O00089,C0016,2025-06-03,Completed
O00372,C0024,2025-06-03,Processing
O00398,C0035,2025-06-03,Completed
O00034,C0099,2025-06-04,Shipped
O00399,C0006,2025-06-05,Shipped
O00278,C0009,2025-06-06,Completed
O00281,C0017,2025-06-06,Cancelled
O00303,C0004,2025-06-06,Completed
O00306,C0031,2025-06-06,Cancelled
O00420,C0059,2025-06-07,Completed
O00296,C0008,2025-06-08,Completed
O00036,C0025,2025-06-09,Completed
O00200,C0007,2025-06-10,Processing
O00393,C0077,2025-06-10,Shipped
O00479,C0066,2025-06-10,Completed
O00443,C0083,2025-06-11,Completed
O00242,C0061,2025-06-14,Processing
O00472,C0057,2025-06-14,Completed
O00434,C0095,2025-06-15,Completed
O00207,C0021,2025-06-17,Processing
O00043,C0045,2025-06-19,Completed
O00340,C0032,2025-06-20,Completed
O00205,C0036,2025-06-21,Completed
O00177,C0067,2025-06-22,Completed
O00310,C0039,2025-06-22,Processing
O00429,C0055,2025-06-24,Completed
O00394,C0092,2025-06-26,Completed
O00404,C0066,2025-06-26,Shipped
O00201,C0068,2025-06-27,Processing
O00447,C0073,2025-06-27,Completed
O00258,C0085,2025-06-28,Completed
O00274,C0093,2025-06-28,Completed
O00386,C0064,2025-06-28,Completed
O00078,C0060,2025-06-29,Completed
O00134,C0069,2025-06-29,Cancelled
O00390,C0073,2025-06-29,Processing
O00361,C0003,2025-07-01,Completed
O00387,C0027,2025-07-01,Completed
O00473,C0017,2025-07-01,Completed
O00024,C0090,2025-07-02,Shipped
O00008,C0067,2025-07-03,Completed
O00029,C0048,2025-07-03,Shipped
O00301,C0089,2025-07-03,Shipped
O00091,C0030,2025-07-06,Shipped
O00486,C0050,2025-07-07,Completed
O00409,C0033,2025-07-08,Completed
O00103,C0009,2025-07-11,Completed
O00173,C0061,2025-07-13,Shipped
O00430,C0006,2025-07-13,Processing
O00031,C0093,2025-07-14,Completed
O00033,C0026,2025-07-14,Completed
O00493,C0063,2025-07-14,Completed
O00286,C0042,2025-07-15,Completed
O00490,C0079,2025-07-16,Completed
O00144,C0094,2025-07-17,Completed
O00271,C0005,2025-07-17,Completed
O00391,C0033,2025-07-17,Cancelled
O00327,C0003,2025-07-19,Completed
O00106,C0058,2025-07-21,Shipped
O00369,C0016,2025-07-21,Cancelled
O00175,C0043,2025-07-22,Completed
O00016,C0024,2025-07-24,Completed
O00079,C0005,2025-07-26,Completed
O00336,C0006,2025-07-29,Completed
O00380,C0060,2025-07-29,Shipped
O00417,C0063,2025-07-30,Completed
O00116,C0063,2025-07-31,Completed
O00184,C0029,2025-07-31,Shipped
O00241,C0012,2025-08-01,Completed
O00062,C0063,2025-08-02,Processing
O00083,C0094,2025-08-02,Shipped
O00354,C0047,2025-08-02,Shipped
O00416,C0026,2025-08-03,Completed
O00087,C0040,2025-08-04,Cancelled
O00300,C0071,2025-08-04,Completed
O00055,C0032,2025-08-06,Completed
O00333,C0056,2025-08-06,Processing
O00165,C0091,2025-08-08,Shipped
O00433,C0069,2025-08-10,Shipped
O00499,C0079,2025-08-10,Completed
O00162,C0002,2025-08-11,Completed
O00474,C0047,2025-08-11,Completed
O00414,C0011,2025-08-12,Completed
O00185,C0013,2025-08-13,Shipped
O00266,C0042,2025-08-13,Processing
O00137,C0090,2025-08-14,Completed
O00500,C0030,2025-08-14,Completed
O00101,C0062,2025-08-15,Cancelled
O00124,C0051,2025-08-16,Completed
O00298,C0086,2025-08-16,Completed
O00140,C0085,2025-08-17,Completed
O00160,C0024,2025-08-17,Completed
O00236,C0013,2025-08-17,Completed
O00459,C0072,2025-08-17,Completed
O00109,C0096,2025-08-19,Completed
O00280,C0058,2025-08-19,Processing
O00049,C0076,2025-08-21,Shipped
O00120,C0067,2025-08-21,Processing
O00492,C0051,2025-08-22,Shipped
O00018,C0047,2025-08-23,Completed
O00129,C0092,2025-08-24,Completed
O00222,C0096,2025-08-24,Completed
O00249,C0095,2025-08-25,Processing
O00096,C0092,2025-08-26,Shipped
O00063,C0062,2025-08-27,Processing
O00098,C0055,2025-08-27,Completed
O00458,C0095,2025-08-27,Completed
O00020,C0023,2025-08-28,Shipped
O00157,C0069,2025-08-31,Completed
O00314,C0019,2025-08-31,Completed
O00375,C0092,2025-09-01,Completed
O00001,C0060,2025-09-04,Processing
O00156,C0001,2025-09-04,Shipped
O00452,C0004,2025-09-04,Completed
O00022,C0027,2025-09-06,Shipped
O00059,C0051,2025-09-06,Completed
O00457,C0092,2025-09-06,Completed
O00385,C0100,2025-09-08,Processing
O00077,C0053,2025-09-10,Cancelled
O00285,C0040,2025-09-11,Completed
O00322,C0092,2025-09-11,Completed
O00454,C0065,2025-09-12,Completed
O00498,C0088,2025-09-13,Cancelled
O00073,C0054,2025-09-14,Completed
O00356,C0014,2025-09-14,Shipped
O00413,C0049,2025-09-14,Completed
O00427,C0001,2025-09-14,Completed
O00199,C0034,2025-09-16,Completed
O00203,C0075,2025-09-18,Completed
O00305,C0070,2025-09-18,Processing
O00496,C0038,2025-09-18,Completed
O00014,C0067,2025-09-19,Completed
O00478,C0014,2025-09-20,Completed
O00128,C0078,2025-09-21,Shipped
O00437,C0053,2025-09-21,Completed
O00464,C0003,2025-09-21,Completed
O00215,C0099,2025-09-22,Shipped
O00442,C0074,2025-09-23,Shipped
O00234,C0089,2025-09-24,Completed
O00355,C0049,2025-09-24,Completed
O00237,C0059,2025-09-27,Completed
O00010,C0025,2025-09-30,Completed
O00108,C0034,2025-09-30,Completed
O00214,C0049,2025-09-30,Completed
O00099,C0090,2025-10-01,Completed
O00183,C0044,2025-10-02,Cancelled
O00040,C0007,2025-10-04,Completed
O00143,C0033,2025-10-04,Completed
O00030,C0039,2025-10-08,Completed
O00058,C0086,2025-10-09,Completed
O00135,C0076,2025-10-09,Completed
O00316,C0067,2025-10-09,Shipped
O00318,C0013,2025-10-10,Completed
O00006,C0087,2025-10-12,Completed
O00395,C0029,2025-10-12,Completed
O00421,C0027,2025-10-12,Completed
O00485,C0038,2025-10-12,Completed
O00239,C0049,2025-10-13,Completed
O00423,C0077,2025-10-13,Completed
O00349,C0099,2025-10-14,Completed
O00257,C0052,2025-10-15,Completed
O00441,C0074,2025-10-15,Completed
O00446,C0078,2025-10-15,Completed
O00469,C0005,2025-10-15,Processing
O00141,C0039,2025-10-16,Completed
O00279,C0074,2025-10-16,Completed
O00284,C0013,2025-10-16,Completed
O00240,C0100,2025-10-18,Shipped
O00373,C0028,2025-10-18,Completed
O00465,C0050,2025-10-18,Completed
O00072,C0015,2025-10-19,Completed
O00315,C0039,2025-10-19,Completed
O00195,C0093,2025-10-20,Processing
O00344,C0021,2025-10-20,Completed
O00497,C0097,2025-10-20,Completed
O00100,C0090,2025-10-21,Completed
O00295,C0083,2025-10-21,Cancelled
O00379,C0058,2025-10-21,Shipped
O00254,C0099,2025-10-22,Completed
O00228,C0089,2025-10-23,Completed
O00252,C0016,2025-10-23,Shipped
O00352,C0057,2025-10-23,Completed
O00353,C0018,2025-10-24,Cancelled
O00317,C0045,2025-10-26,Shipped
O00112,C0001,2025-10-27,Completed
O00178,C0065,2025-10-27,Shipped
O00056,C0087,2025-10-28,Cancelled
O00331,C0063,2025-10-29,Shipped
O00357,C0015,2025-10-29,Cancelled
O00471,C0094,2025-10-29,Completed
O00080,C0068,2025-10-30,Completed
O00297,C0065,2025-10-30,Processing
O00329,C0092,2025-10-30,Completed
O00489,C0030,2025-10-30,Completed
O00219,C0024,2025-11-01,Completed
O00422,C0049,2025-11-01,Completed
O00267,C0058,2025-11-05,Completed
O00367,C0074,2025-11-05,Completed
O00154,C0058,2025-11-07,Completed
O00475,C0023,2025-11-07,Completed
O00092,C0019,2025-11-08,Completed
O00362,C0016,2025-11-09,Completed
O00370,C0072,2025-11-09,Completed
O00451,C0077,2025-11-09,Shipped
O00138,C0090,2025-11-11,Processing
O00238,C0019,2025-11-12,Processing
O00339,C0045,2025-11-12,Completed
O00044,C0020,2025-11-13,Cancelled
O00150,C0052,2025-11-14,Completed
O00221,C0062,2025-11-14,Cancelled
O00418,C0089,2025-11-14,Completed
O00067,C0086,2025-11-15,Completed
O00211,C0024,2025-11-15,Shipped
O00364,C0057,2025-11-15,Completed
O00435,C0005,2025-11-15,Completed
O00136,C0016,2025-11-16,Completed
O00193,C0090,2025-11-16,Completed
O00229,C0099,2025-11-16,Processing
O00231,C0017,2025-11-16,Completed
O00210,C0073,2025-11-17,Processing
O00450,C0045,2025-11-17,Completed
O00164,C0032,2025-11-18,Cancelled
O00288,C0050,2025-11-18,Shipped
O00453,C0062,2025-11-19,Completed
O00182,C0043,2025-11-20,Completed
O00308,C0061,2025-11-20,Shipped
O00342,C0061,2025-11-20,Completed
O00046,C0008,2025-11-22,Completed
O00180,C0040,2025-11-22,Completed
O00412,C0096,2025-11-23,Processing
O00233,C0084,2025-11-24,Completed
O00253,C0069,2025-11-24,Completed
O00345,C0080,2025-11-24,Completed
O00455,C0032,2025-11-24,Completed
O00213,C0099,2025-11-25,Completed
O00009,C0018,2025-11-26,Completed
O00292,C0029,2025-11-26,Completed
O00323,C0072,2025-11-26,Completed
O00477,C0085,2025-11-26,Completed
O00149,C0034,2025-11-27,Completed
O00309,C0054,2025-11-28,Processing
O00198,C0090,2025-11-29,Shipped
O00223,C0037,2025-11-30,Processing
O00168,C0012,2025-12-01,Cancelled
O00174,C0051,2025-12-01,Completed
O00025,C0017,2025-12-02,Completed
O00070,C0042,2025-12-03,Completed
O00401,C0069,2025-12-03,Completed
O00244,C0076,2025-12-05,Completed
O00011,C0095,2025-12-06,Completed
O00407,C0030,2025-12-08,Completed
O00392,C0084,2025-12-10,Completed
O00051,C0015,2025-12-12,Processing
O00330,C0062,2025-12-12,Completed
O00359,C0001,2025-12-12,Shipped
O00381,C0050,2025-12-13,Completed
O00232,C0062,2025-12-15,Processing
O00448,C0001,2025-12-15,Completed
O00065,C0058,2025-12-16,Completed
O00148,C0100,2025-12-16,Completed
O00151,C0095,2025-12-16,Shipped
O00032,C0042,2025-12-18,Completed
O00260,C0053,2025-12-19,Completed
O00293,C0037,2025-12-19,Completed
O00076,C0008,2025-12-21,Completed
O00197,C0074,2025-12-22,Completed
O00341,C0045,2025-12-22,Completed
O00439,C0053,2025-12-25,Completed
O00028,C0043,2025-12-26,Completed
O00324,C0061,2025-12-26,Completed
O00410,C0065,2025-12-26,Completed
O00235,C0086,2025-12-27,Completed
O00403,C0025,2025-12-27,Completed
O00097,C0058,2025-12-29,Completed
O00332,C0025,2025-12-29,Completed
O00384,C0041,2025-12-30,Completed
O00088,C0052,2025-12-31,Shipped
O00139,C0048,2025-12-31,Completed
O00299,C0017,2025-12-31,Shipped
